ids,users,label_count,labels,claim_id,claim,deleted,created
"56,72,1603,1653","74,7,17,5",4,"NOT ENOUGH INFO,NOT ENOUGH INFO,REFUTES,REFUTES",119,Učená společnost vyznamenává kadeřnice.,"0","1606305951,1606311880,1607512852,1614860068"
"590,800","21,28",2,"NOT ENOUGH INFO,REFUTES",120,Učená společnost hodnotí kvalitu stravování na školách.,"0","1607077296,1607290764"
3143,161,1,SUPPORTS,121,Učená společnost oceňuje vědce.,"0",1616075303
"253,1652","71,5",2,"REFUTES,REFUTES",122,Učená společnost oceňuje pouze seniorní akademiky a vědce.,"0","1606669997,1614859949"
"1148,1271","57,24",2,"REFUTES,REFUTES",123,Učená společnost neoceňuje studenty.,"0","1607386160,1607417709"
273,10,1,SUPPORTS,125,Mise raketoplánů Challenger i Columbie skončila neúspěchem a havárií.,"0",1606853368
79,44,1,SUPPORTS,126,Příčiny havárie raketoplánů Challenger a Columbie byly rozdílné.,"0",1606383030
6311,110,1,REFUTES,127,Challenger i Columbie úspěšně splnily své mise.,"0",1617808238
5209,143,1,SUPPORTS,131,Inscenace jedné z pohádek Astrid Lindgrenové se odehrálo v Praze.,"0",1616898222
"538,1651","56,5",2,"SUPPORTS,SUPPORTS",132,Divadlo Rokoko hrálo pohádku Astrid Lindgrenové.,"0","1607016365,1614859859"
"50,102,154,459","74,63,59,38",4,"REFUTES,REFUTES,REFUTES,REFUTES",134,Žádná dramatizace pohádky nebyla v Praze uvedena.,"0","1606305513,1606387068,1606412230,1607001219"
"42,70,953","74,7,18",3,"SUPPORTS,SUPPORTS,SUPPORTS",135,Švédka Astrid Lindgrenová byla spisovatelka.,"0","1606299064,1606311774,1607368531"
"38,288,521,565,597,1026","74,50,56,65,21,54",6,"SUPPORTS,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,SUPPORTS,NOT ENOUGH INFO",136,Astrid Lindgrenová psala své knihy švédsky.,"0","1606298549,1606861665,1607015812,1607024549,1607078162,1607373860"
116,44,1,REFUTES,137,Astrid Lindgrenová byla finská spisovatelka.,"0",1606388678
"65,181,1649","74,39,5",3,"SUPPORTS,SUPPORTS,SUPPORTS",138,Švédka Astrid Lindgrenová napsala Děti z Bullerbynu.,"0","1606306583,1606584636,1610029515"
92,63,1,REFUTES,139,Astrid Lindgrenová nenapsala žádnou knihu.,"0",1606386551
"287,384,429","50,22,58",3,"SUPPORTS,SUPPORTS,SUPPORTS",140,Jedno z dětí Astrid Lindgrenové byla dcera Karin.,"0","1606861625,1606935301,1606985607"
"43,1208","74,52",2,"SUPPORTS,SUPPORTS",141,Astrid Lindgrenová měla syna.,"0","1606305187,1607414682"
"161,567,624,1025,1103,1165,1655","59,65,16,54,61,57,5",7,"REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES",142,Astrid Lindgrenová neměla žádné děti.,"0","1606412916,1607024687,1607136166,1607373844,1607379881,1607386754,1615111501"
"41,530,955","74,56,18",3,"REFUTES,REFUTES,REFUTES",143,Astrid Lindgrenová byla bezdětná.,"0","1606298775,1607016122,1607368606"
1688,108,1,SUPPORTS,145,V Praze se uskutečnilo více než 10000 demonstrací za rok 2008.,"0",1615330775
"264,281,1570","71,50,43",3,"SUPPORTS,SUPPORTS,SUPPORTS",146,V hlavním městě České republiky se v roce 2008 uskutečnilo více než 10000 demonstrací.,"0","1606671704,1606861227,1607453933"
106,44,1,REFUTES,147,V roce 2008 proběhlo v Praze okolo 5000 demonstrací.,"0",1606387509
"62,608","74,21",2,"NOT ENOUGH INFO,SUPPORTS",148,V České republice proběhlo více než 10000 protestních akcí v roce 2008.,"0","1606306494,1607079013"
5593,160,1,SUPPORTS,149,V České republice neproběhla v roce 2008 žádná protestní akce.,"0",1616961684
"51,111,171,387","74,44,59,22",4,"SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS",152,Stav zaměstnanců kroměřížské firmy Fremach Morava byl v roce 2015 více než čtyři sta.,"0","1606305548,1606388489,1606413310,1606935577"
532,56,1,NOT ENOUGH INFO,153,Podle účetních výkazů zaměstnávala v roce 2015 firma Fremach Morava více než 400 osob.,"0",1607016193
897,72,1,REFUTES,154,Stav zaměstnanců kroměřížské firmy Fremach Morava byl v roce 2015 méně než tři sta.,"0",1607356831
6284,110,1,REFUTES,155,Kroměřížská firma Fremach Morava v roce 2015 zkrachovala.,"0",1617806146
"61,1504","74,48",2,"REFUTES,SUPPORTS",156,Firma Fremach Morava z Kroměříže byla v roce 2015 v likvidaci.,"0","1606306441,1607448546"
1074,30,1,SUPPORTS,157,Hlavním odběratelem firmy Fremach Morava z Kroměříže je automobilový průmysl.,"0",1607376023
110,44,1,REFUTES,158,Kroměřížská firma Fremach Morava dodává své výrobky zejména do energetického odvětví.,"0",1606388472
"39,69,1564,1648","74,7,43,5",4,"SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS",159,"Hlavními výrobky firmy Fremach Morava z Kroměříže jsou panely autorádií, navigační systémy v automobilech a autoklimatizace.","0","1606298731,1606311671,1607453757,1610029466"
4977,119,1,REFUTES,160,Fremach Morava z Kroměříže nemá žádné zakázky pro automobilový průmysl.,"0",1616861161
6022,171,1,REFUTES,161,Kroměřížská firma Fremach Morava vyrábí součástky pouze do elektráren.,"0",1617192009
186,39,1,SUPPORTS,163,Křeče a vyčerpání hrozí lidem při horkém počasí a přehřátí.,"0",1606584890
"22,694,983","7,14,47",3,"SUPPORTS,SUPPORTS,SUPPORTS",164,V horkém počasí může nastat přehřátí organismu doprovázené křečemi nebo vyčerpáním.,"0","1605880548,1607201532,1607372339"
6084,136,1,SUPPORTS,165,Přehřátí lidského organismu může způsobovat křeče a vyčerpání.,"0",1617214819
"204,336,946,1176","46,10,37,31",4,"REFUTES,REFUTES,REFUTES,REFUTES",166,Křeče nevznikají z přehřátí.,"0","1606643943,1606915235,1607367978,1607387347"
"206,4077","46,155",2,"SUPPORTS,SUPPORTS",170,Denverský střelec byl u soudu.,"0","1606644099,1616537149"
6375,110,1,SUPPORTS,171,Střelec z kina byl u soudu.,"0",1617828258
467,49,1,SUPPORTS,172,Střelec z Denveru byl zastřelen při zatýkání.,"0",1607008095
6440,110,1,SUPPORTS,182,V září připlulo z Tuniska do Evropy více než tisícovka imigrantů.,"0",1617886563
212,46,1,NOT ENOUGH INFO,183,Z Alžírska přišlo do Evropy více než 1000 lidí.,"0",1606644834
6365,110,1,NOT ENOUGH INFO,184,V září přišlo z Tuniska do Evropy tisíc žen.,"0",1617827404
913,72,1,SUPPORTS,185,V září přišlo z Tuniska do jižní Evropy přes tisíc lidí.,"0",1607357674
"26,1404","74,11",2,"SUPPORTS,REFUTES",186,V září přišlo z Afriky do Evropy přes 1000 lidí.,"0","1606243013,1607430456"
"32,735,1486","74,9,70",3,"REFUTES,REFUTES,REFUTES",187,V září zůstali lidé v Tunisku a počet imigrantů v Evropě zůstal stejný.,"0","1606296904,1607209126,1607448007"
"104,1109","44,61",2,"SUPPORTS,SUPPORTS",195,Radnice v Postoloprtech zachraňuje místní kapli.,"0","1606387428,1607380549"
35,74,1,NOT ENOUGH INFO,196,Radnice Brna zachraňuje kapli čtrnácti svatých pomocníků.,"0",1606296971
"262,945","71,37",2,"REFUTES,NOT ENOUGH INFO",197,Radnice Postoloprt otevírá městské kino.,"0","1606671503,1607367936"
"188,210,360","39,46,64",3,"NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO",198,Radnice Postoloprt zachraňuje tympanon kaple čtrnácti svatých pomocníků.,"0","1606585119,1606644485,1606932749"
36,74,1,SUPPORTS,199,Radnice Postoloprt zachraňuje církevní památku.,"0",1606296995
"33,174","74,59",2,"REFUTES,REFUTES",200,Radnice Postoloprt nechává chátrat kapli čtrnácti svatých pomocníků.,"0","1606296915,1606413792"
"191,272","39,10",2,"NOT ENOUGH INFO,SUPPORTS",201,"Postoloprtská starostka prohlásila, že kaple z poloviny 19. století bude opravena z peněz města.","0","1606585411,1606853064"
"31,162,460","74,59,38",3,"NOT ENOUGH INFO,REFUTES,REFUTES",202,"Starosta Písku prohlásil, že kaple z roku 1841 bude opravena z peněz města.","0","1606296787,1606412959,1607001235"
"263,477,1631","71,49,23",3,"REFUTES,SUPPORTS,REFUTES",203,"Postoloprtská starostka prohlásila, že divadlo bude opraveno z peněz města.","0","1606671532,1607009503,1607712278"
1596,51,1,SUPPORTS,204,"Postoloprtská starostka prohlásila, že kaple z roku 1841 bude opravena z rozpočtu na kulturu města.","0",1607460944
"34,266,407","74,53,55",3,"SUPPORTS,SUPPORTS,REFUTES",205,"Postoloprtská starostka prohlásila, že kaple bude opravena z peněz města.","0","1606296937,1606770589,1606948027"
"108,192,193,845,881","44,39,39,62,27",5,"REFUTES,SUPPORTS,REFUTES,REFUTES,REFUTES",206,"Postoloprtská starostka prohlásila, že kapli z roku 1841 nechá město v dezolátním stavu.","0","1606388363,1606585430,1606585458,1607347175,1607354062"
"736,1005","9,42",2,"REFUTES,NOT ENOUGH INFO",207,"Kaple 14 svatých pomocníků v Chomutově je v majetku církve, ale opraví ji město.","0","1607209231,1607373025"
"235,1083","67,30",2,"SUPPORTS,SUPPORTS",208,"Kaple 14 svatých pomocníků v Postoloprtech má soukromého majitele, ale opraví ji město.","0","1606663339,1607376348"
"30,589,623","74,21,16",3,"SUPPORTS,SUPPORTS,NOT ENOUGH INFO",209,"Kaple 14 svatých pomocníků v Ústeckém kraji je v majetku církve, ale opraví ji město.","0","1606296675,1607077132,1607136071"
1335,29,1,REFUTES,210,"Kaple 14 svatých pomocníků v Postoloprtech je v majetku města, které ji opraví.","0",1607421488
"255,931","71,37",2,"SUPPORTS,NOT ENOUGH INFO",214,Richard Loskot vystavuje v galerii ve východních Čechách.,"0","1606670210,1607366858"
5849,167,1,NOT ENOUGH INFO,215,Richard Loskot vystavuje v galerii v Pardubicích.,"0",1617049597
"332,437","10,58",2,"REFUTES,REFUTES",216,Richard Loskot natáčí film v galerii v Hradci Králové.,"0","1606914303,1606986063"
411,55,1,SUPPORTS,217,Autor audiovizuálních instalací Richard Loskot vystavuje v galerii v Hradci Králové.,"0",1606948228
"453,700,809","38,14,28",3,"SUPPORTS,SUPPORTS,SUPPORTS",218,Autor audiovizuálních instalací vystavuje v galerii v Hradci Králové.,"0","1607001035,1607201725,1607292232"
"68,285,1079","74,50,30",3,"REFUTES,REFUTES,REFUTES",219,Richard Loskot odmítl vystavovat v galerii v Hradci Králové.,"0","1606306669,1606861423,1607376215"
"107,234","44,67",2,"REFUTES,NOT ENOUGH INFO",220,Výstava Velké ticho představuje osm současných autorek.,"0","1606387542,1606663258"
6339,110,1,REFUTES,221,Výstava Velké ticho představuje hudebníky poslední dekády.,"0",1617812689
"90,622","63,16",2,"REFUTES,REFUTES",222,Výstava Velké ticho představuje osm současných malířů.,"0","1606386412,1607135770"
"99,1456","63,45",2,"SUPPORTS,SUPPORTS",223,Výstava Velké ticho představuje osm autorů.,"0","1606386932,1607446043"
303,10,1,REFUTES,224,Výstava Velké ticho je uzavřena.,"0",1606907413
414,55,1,SUPPORTS,225,Tematická výstava minimalismu začíná v hradecké Galerii Moderního umění.,"0",1606948373
"270,337","53,10",2,"NOT ENOUGH INFO,SUPPORTS",226,Tematická výstava minimalismu začíná v Galerii Moderního umění v Ostravě.,"0","1606770942,1606915309"
"101,558,1002,1577","63,65,47,51",4,"REFUTES,REFUTES,REFUTES,NOT ENOUGH INFO",227,Tematická výstava architektury začíná v Galerii Moderního umění v Hradci.,"0","1606387044,1607023148,1607372969,1607459276"
6355,110,1,SUPPORTS,228,V hradecké galerii začíná tematická výstava minimalismu.,"0",1617824481
4553,115,1,NOT ENOUGH INFO,229,Tematická výstava minimalismu v Galerii Moderního umění v Hradci končí.,"0",1616772129
"166,333,617,829","59,10,16,19",4,"SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS",233,Oceňovaný polský režisér Andrzej Žulawski skonal na rakovinu.,"0","1606413128,1606914867,1607135397,1607336817"
"205,327","46,41",2,"REFUTES,REFUTES",234,Oceňovaný polský režisér Andrzej Žulawski zemřel na infarkt.,"0","1606643967,1606909968"
"144,866","59,68",2,"REFUTES,REFUTES",235,Oceňovaný polský režisér Andrzej Žulawski zmizel.,"0","1606400193,1607350793"
"115,184,465","44,39,38",3,"NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO",236,Oceňovaný polský režisér Andrzej Žulawski zemřel na rakovinu slinivky.,"0","1606388662,1606584752,1607001386"
"742,1511","69,48",2,"SUPPORTS,SUPPORTS",237,Oceňovaný evropský režisér Andrzej Žulawski zemřel na rakovinu.,"0","1607245798,1607448635"
6265,110,1,NOT ENOUGH INFO,238,Oceňovaný polský režisér Andrzej Žulawski se oženil.,"0",1617801645
"182,299","39,25",2,"SUPPORTS,SUPPORTS",239,Režisér kontroverzního snímku Třetí část noci (1971) zemřel v Polsku.,"0","1606584690,1606905054"
"67,1269","74,24",2,"REFUTES,REFUTES",240,Režisér kontroverzního snímku Třetí část noci (1971) zemřel ve Lvově.,"0","1606306647,1607417638"
"201,1105","46,61",2,"REFUTES,NOT ENOUGH INFO",241,Režisér nekonečného seriálu Ordinace zemřel ve Varšavě.,"0","1606643606,1607380159"
"159,356","59,64",2,"NOT ENOUGH INFO,NOT ENOUGH INFO",242,Režisér kontroverzního snímku Třetí část noci (1971) zemřel ve svém varšavském bytě.,"0","1606412812,1606932161"
"529,607","56,21",2,"SUPPORTS,SUPPORTS",243,Režisér kontroverzních filmů zemřel ve Varšavě.,"0","1607016102,1607078964"
6299,110,1,REFUTES,244,Režisér kontroverzního snímku Třetí část noci (1971) začal točit nový film.,"0",1617807727
6367,110,1,NOT ENOUGH INFO,246,Hejtman Rath byl zadržen s trezorem s penězi.,"0",1617827437
164,59,1,,255,Dle šéfa inspektorů OSN Hanse Blicka Irák neplní své sliby na zbavení se zakázaných zbraní.,"0",1606413019
"145,189,419,1438","59,39,55,73",4,"REFUTES,NOT ENOUGH INFO,REFUTES,REFUTES",256,Podle Blixe Argentina neplní své závazky na likvidaci zbraní hromadného ničení.,"0","1606400279,1606585185,1606948777,1607438903"
"80,982","63,42",2,"REFUTES,NOT ENOUGH INFO",257,Podle Blixe se Irák nechce domluvit s OSN na prodeji tanků.,"0","1606384416,1607372297"
"82,1569","63,43",2,"SUPPORTS,SUPPORTS",258,Podle Blixe vedení země v Bagdádu neplní své závazky na likvidaci zbraní hromadného ničení.,"0","1606384493,1607453910"
473,49,1,SUPPORTS,259,Podle Blixe jedna ze zemí Blízkého východu neplní své závazky na likvidaci zbraní hromadného ničení.,"0",1607009173
112,44,1,REFUTES,260,Hans Blix se k situaci v Iráku nevyjádřil.,"0",1606388547
"78,366,1169","44,64,57",3,"REFUTES,REFUTES,REFUTES",261,António Guterres je generální tajemník OSN.,"0","1606382984,1606933272,1607386837"
1439,73,1,REFUTES,262,Pan Ki-mun je prezidentem Evropské komise.,"0",1607438922
903,72,1,SUPPORTS,263,Pan Ki-mun je šéfem mezinárodní organizace.,"0",1607357227
"291,355,705","50,64,14",3,"SUPPORTS,REFUTES,REFUTES",264,Pan Ki-mun nebyl zvolen generálním tajemníkem OSN.,"0","1606861980,1606929873,1607202056"
318,41,1,SUPPORTS,266,Generální tajemník OSN Pan Ki-mun nesouhlasí s útokem islamistických ozbrojenců.,"0",1606909751
"951,1476","18,70",2,"REFUTES,NOT ENOUGH INFO",268,Generální tajemník OSN Pan Ki-mun odsoudil útok maskovaných banditů.,"0","1607368340,1607447628"
1639,23,1,SUPPORTS,270,Generální tajemník OSN Pan Ki-mun odsoudil útok nebezpečných ozbrojenců.,"0",1607712618
4630,116,1,REFUTES,271,Generální tajemník OSN Pan Ki-mun vyjádřil souhlas s útokem islamistických ozbrojenců.,"0",1616774514
"475,928","49,60",2,"SUPPORTS,SUPPORTS",272,"Generální tajemník OSN Pan Ki-mun trvá na tom, aby se vyšetřila smrt 37 příznivců Muslimského bratrstva.","0","1607009379,1607359174"
6504,110,1,NOT ENOUGH INFO,273,Generální tajemník OSN Pan Ki-mun vyzval k vyšetření smrti 37 příznivců Islámského státu.,"0",1617891551
"167,324,441","59,41,58",3,"REFUTES,REFUTES,REFUTES",274,Generální tajemník OSN Pan Ki-mun vyzval k vyšetření smrti 37 příznivců Svědků Jehovových.,"0","1606413169,1606909924,1606986162"
556,65,1,SUPPORTS,275,Generální tajemník OSN Pan Ki-mun vyzval k vyšetření smrti příznivců teroristické organizace.,"0",1607022866
1133,40,1,REFUTES,276,"Generální tajemník OSN Pan Ki-mun uvedl, že by se smrt 37 příznivců Muslimského bratrstva neměla vyšetřovat.","0",1607383889
454,38,1,SUPPORTS,277,Během převozu 37 příznivců Muslimského bratrstva do egyptského vězení všichni zemřeli.,"0",1607001049
"76,93,726,960","44,63,9,18",4,"SUPPORTS,REFUTES,REFUTES,REFUTES",278,37 příznivců Talibánu zemřelo při převozu do vězení v Egyptě.,"0","1606381635,1606386671,1607207105,1607368905"
"156,605","59,21",2,"SUPPORTS,SUPPORTS",280,37 příznivců Muslimského bratrstva zemřelo při převozu do vězení v Káhiře.,"0","1606412634,1607078812"
"314,561,1071","41,65,30",3,"SUPPORTS,SUPPORTS,SUPPORTS",281,37 příznivců Muslimského bratrstva zemřelo při převozu do vězení v Africe.,"0","1606909645,1607023924,1607375883"
"74,91","44,63",2,"REFUTES,REFUTES",282,Žádný z 37 příznivců Muslimského bratrstva při převozu do vězení v Egyptě nezemřel.,"0","1606381392,1606386526"
427,58,1,NOT ENOUGH INFO,283,Podle egyptské vlády je Muslimské bratrstvo teroristickou organizací.,"0",1606985515
1267,24,1,REFUTES,284,"Egyptská vláda se domnívá, že Islámský stát šíří terorismus.","0",1607417546
"100,157","63,59",2,"REFUTES,NOT ENOUGH INFO",285,"Egyptská vláda se domnívá, že stoupenci Donalda Trumpa šíří terorismus.","0","1606386980,1606412708"
"73,852,947","44,68,18",3,"SUPPORTS,NOT ENOUGH INFO,SUPPORTS",286,"Egyptská vláda se domnívá, že teroristická organizace šíří terorismus.","0","1606381356,1607349450,1607368094"
6417,110,1,SUPPORTS,291,Probíhá rekonstrukce poděbradského vlakového nádraží.,"0",1617831934
